Nom_accueil ;type_accueil;code_type_accueil;jour_ouverture;heures_ouverture;complément;adresse_caf_fr;code postal_caf_fr;ville_caf_fr;adresse_google;code postal_ville_google;pays_google;Longitude;Latitude;nom_epci;num_epci;code_com;code_Dept;Nom_Dept;Nom_Reg;
Centre administratif - Abscon;permanence;3;Mardi;de 10h30 à 12h00;Fermé pendant les vacances scolaires;1 rue Pasteur;59215;Abscon;1 Rue Louis Pasteur; 59215 Abscon; France; 3.29979179999998;50.3338969;CA de la Porte du Hainaut;200042190;59002;59;NORD;NORD-PAS-DE-CALAIS;
Maison des services publics - Aniche;permanence;3;Vendredi;de 9h00 à 12h00 les 2ème et 4ème vendredis du mois;Fermé pendant les vacances scolaires;44 rue Patoux;59580;Aniche;44 Rue Patoux; 59580 Aniche; France; 3.247717400000056;50.3306868;CC Coeur d'Ostrevent [c.C.C.O.];245901152;59008;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Anzin;permanence;3;Lundi;de 13h30 à 16h30;Permanence suspendue à compter du 1er décembre 2014;place Roger Salengro;59410;Anzin;Place Roger Salengro; 59410 Anzin; France; 3.5009469999999965;50.370109;CA Valenciennes Métropole;245901160;59014;59;NORD;NORD-PAS-DE-CALAIS;
Agence d'Armentières - Accueil sur rendez-vous;Agence;1;Lundi - Mardi - Mercredi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;8 rue des Nieulles;59280;Armentières;8 Rue des Nieulles; 59280 Armentières; France; 2.8804316000000654;50.6814933;Métropole Européenne de Lille;245900410;59017;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Auberchicourt;permanence;3;Vendredi;de 9h00 à 12h00 les 1er, 3ème et 5ème vendredis du mois;Fermé pendant les vacances scolaires;3 place Suzanne Lannoy;59165;Auberchicourt;3 Place Suzanne Lanoy; 59165 Auberchicourt; France; 3.2343965000000026;50.3315418;CC Coeur d'Ostrevent [c.C.C.O.];245901152;59024;59;NORD;NORD-PAS-DE-CALAIS;
Maison des services - Auby;permanence;3;Jeudi;de 14h00 à 16h30 les 1er, 3ème et 5ème jeudis du mois;Fermé pendant les vacances scolaires;1 rue du Général de Gaulle;59950;Auby;1 Rue du Général de Gaulle; 59950 Auby; France; 3.0545649000000594;50.4153509;CA du Douaisis [c.A.D.];200044618;59028;59;NORD;NORD-PAS-DE-CALAIS;
Cyber base - Aulnoy lez Valenciennes;permanence;3;Vendredi;de 8h30 à 10h00;Fermé pendant les vacances scolaires;2 avenue Henri Matisse;59300;Aulnoy-lez-Valenciennes;2 Avenue Henri Matisse; 59300 Aulnoy-Lez-Valenciennes; France; 3.5219899999999598;50.3341982;CA Valenciennes Métropole;245901160;59032;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Aulnoye-Aymeries;permanence;3;Lundi;de 9h00 à 12h00;Fermé pendant les vacances scolaires;Place du Docteur Guersant;59620;Aulnoye-Aymeries;Place du Dr Guersant; 59620 Aulnoye-Aymeries; France; 3.8342629999999644;50.200404;CA Maubeuge Val de Sambre;200043396;59033;59;NORD;NORD-PAS-DE-CALAIS;
CPAM - Avesnes-sur-Helpe;permanence;3;Mercredi;de 9h à 11h45 et de 13h30 à 16h;Fermé pendant les vacances scolaires;2 rue Vauban;59440;Avesnes-sur-Helpe;2 Rue Vauban; 59440 Avesnes-sur-Helpe; France; 3.9276155999999673;50.1211356;CC Coeur de l'Avesnois;200043263;59036;59;NORD;NORD-PAS-DE-CALAIS;
Maison des Vraies Richesses, 1er étage - Bailleul;permanence;3;Lundi - Mardi;de 9h00 à 12h00;Fermé pendant les vacances scolaires;41 rue d'Ypres;59270;Bailleul;41 Rue d'Ypres; 59270 Bailleul; France; 2.73735929999998;50.7405003;CC de Flandre Intérieure;200040947;59043;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Bavay;permanence;3;Vendredi;de 13h30 à 15h30;Fermé pendant les vacances scolaires;place Charles de Gaulle;59570;Bavay;Place Charles de Gaulle; 59570 Bavay; France; 3.7944506000000047;50.2988066;CC du Pays de Mormal;200043321;59053;59;NORD;NORD-PAS-DE-CALAIS;
Foyer socio-éducatif - Bergues;permanence;3;Lundi;de 9h00 à 11h30;Fermé pendant les vacances scolaires;avenue de la Liberté;59380;Bergues;Avenue de la Liberté; 59380 Bergues; France; 2.4384975000000395;50.9715397;CC des Hauts de Flandre;200040954;59067;59;NORD;NORD-PAS-DE-CALAIS;
Pôle social - Beuvrages;permanence;3;Mercredi;de 13h30 à 16h00;Fermé pendant les vacances scolaires;rue Henri Durre;59192;Beuvrages;Rue Henri Durre; 59192 Beuvrages; France; 3.5047889999999597;50.385283;CA Valenciennes Métropole;245901160;59079;59;NORD;NORD-PAS-DE-CALAIS;
Centre social - Bourbourg;permanence;3;Mardi;de 9h00 à 11h30;Fermé pendant les vacances scolaires;avenue François Mitterrand;59630;Bourbourg;Rue François Mitterrand; 59630 Bourbourg; France; 2.1928918999999496;50.9447209;CU de Dunkerque;245900428;59094;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Bruay sur l'Escaut;permanence;3;Mardi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;26 place Farineau;59860;Bruay-sur-l'Escaut;26 Place des Farineau; 59860 Bruay-sur-l'Escaut; France; 3.537063499999931;50.39724469999999;CA Valenciennes Métropole;245901160;59112;59;NORD;NORD-PAS-DE-CALAIS;
Agence de Cambrai - Accueil sur rendez-vous;Agence;1;Lundi - Mardi - Mercredi - Vendredi;de 8h30 à 16h00;;2 Rang Saint Jean;59400;Cambrai;2 Rang Saint-Jean; 59400 Cambrai; France; 3.238461700000016;50.1749107;CA de Cambrai;200044022;59122;59;NORD;NORD-PAS-DE-CALAIS;
Centre social - Cassel;permanence;3;Mercredi;de 13h30 à 15h30;Fermé pendant les vacances scolaires;Grand Place;59670;Cassel;Grand' Place; 59670 Cassel; France; 2.4863646000000017;50.7997783;CC de Flandre Intérieure;200040947;59135;59;NORD;NORD-PAS-DE-CALAIS;
Antenne de Caudry;Antenne;2;Mardi-Mercredi-Vendredi;de 9h00 à 12h00 et de 13h00 à 16h00 ( vendredi 9h00 à 12h00);Fermé pendant les vacances scolaires;11 rue Gambetta;59540;Caudry;11 Rue Gambetta; 59540 Caudry; France; 3.4077433999999585;50.122228;CC du Caudrésis et du Catésis;200030633;59139;59;NORD;NORD-PAS-DE-CALAIS;
CPAM - Comines;permanence;3;Mardi;de 9h00 à 12h00 et de 13h00 à 16h00;Fermé pendant les vacances scolaires;68 rue d'Hurlupin;59560;Comines;68 Rue d'Hurlupin; 59560 Comines; France; 3.010009099999934;50.7639005;Métropole Européenne de Lille;245900410;59152;59;NORD;NORD-PAS-DE-CALAIS;
Ecole maternelle du Hameau de Macou - Condé sur l'Escaut;permanence;3;Jeudi;de 10h30 à 12h00;Fermé pendant les vacances scolaires;11 rue Germinal;59163;Condé-sur-l'Escaut;11 Rue Germinal; 59163 Condé-sur-l'Escaut; France; 3.598107700000014;50.46445560000001;CA Valenciennes Métropole;245901160;59153;59;NORD;NORD-PAS-DE-CALAIS;
Maison des services - Crespin;permanence;3;Jeudi;de 9h00 à 10h00;Fermé pendant les vacances scolaires;293 rue des Déportés du train de Loos;59154;Crespin;293 Rue des Déportés; 59154 Crespin; France; 3.660093800000027;50.4181488;CA Valenciennes Métropole;245901160;59160;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Croix;permanence;3;Mardi;de 14h00 à 17h00;Fermé pendant les vacances scolaires;2 rue Léon Déjardin;59170;Croix;2 Rue Léon Dejardin; 59170 Croix; France; 3.153763900000058;50.68144359999999;Métropole Européenne de Lille;245900410;59163;59;NORD;NORD-PAS-DE-CALAIS;
Antenne de Denain;Antenne;2;Mardi-Vendredi;9h30 à 15h30;Fermé pendant les vacances scolaires;88 Allée du Rivage;59220;Denain;88 Allée du Rivage; 59220 Denain; France; 3.385487399999988;50.3270573;CA de la Porte du Hainaut;200042190;59172;59;NORD;NORD-PAS-DE-CALAIS;
Agence de Douai - Accueil sur rendez-vous;Agence;1;Lundi - Mardi - Mercredi - Vendredi;de 8h30 à 16h00;;76 rue Henri Dunant;59500;Douai;76 Rue Henri Dunant; 59500 Douai; France; 3.084646799999973;50.3659432;CA du Douaisis [c.A.D.];200044618;59178;59;NORD;NORD-PAS-DE-CALAIS;
Le Beffroi - Douchy les Mines;permanence;3;Lundi-Jeudi;de 13h30 à 17h00 sur rendez-vous;Fermé pendant les vacances scolaires;18 avenue Julien Renard;59282;Douchy-les-Mines;18 Avenue Julien Renard; 59282 Douchy-les-Mines; France; 3.392259400000057;50.3002074;CA de la Porte du Hainaut;200042190;59179;59;NORD;NORD-PAS-DE-CALAIS;
Agence de Dunkerque - Accueil sur rendez-vous;Agence;1;Lundi - Mardi - Mercredi - Vendredi;de 8h30 à 11h45 et de 13h00 à 16h00;;12 rue de Paris;59240;Dunkerque;12 Rue de Paris; 59140 Dunkerque; France; 2.3731864999999743;51.0296694;CU de Dunkerque;245900428;59183;59;NORD;NORD-PAS-DE-CALAIS;
Local Condorcet - Escaudain;permanence;3;Mercredi;de 9h00 à 12h00;Fermé pendant les vacances scolaires;rue du 8 mai 1945;59124;Escaudain;Rue du 8 Mai 1945; 59124 Escaudain; France; 3.3417180000000144;50.3323182;CA de la Porte du Hainaut;200042190;59205;59;NORD;NORD-PAS-DE-CALAIS;
Maison de la solidarité - Famars;permanence;3;Vendredi;de 10h30 à 11h30;Fermé pendant les vacances scolaires;7 rue de bermerain;59300;Famars;7 Rue de Bermerain; 59300 Famars; France; 3.5190767999999935;50.3135288;CA Valenciennes Métropole;245901160;59221;59;NORD;NORD-PAS-DE-CALAIS;
Foyer Colmant - Feignies;permanence;3;Mardi;de 9h à 12h et de 13h à 16h;Fermé pendant les vacances scolaires;rue Alfred Derkenne;59750;Feignies;Rue Alfred Derkenne; 59750 Feignies; France; 3.917100000000005;50.299248;CA Maubeuge Val de Sambre;200043396;59225;59;NORD;NORD-PAS-DE-CALAIS;
Maison d'Entraide et Solidarité - Ferrière la Grande;permanence;3;Lundi;de 13h30 à 16h;Fermé pendant les vacances scolaires;15 rue Roger Salengro;59680;Ferrière-la-Grande;15 Rue Roger Salengro; 59680 Ferrière-la-Grande; France; 3.993937599999981;50.2532623;CA Maubeuge Val de Sambre;200043396;59230;59;NORD;NORD-PAS-DE-CALAIS;
Antenne de Fourmies;Antenne;2;Mardi-Jeudi;de 9h à 12h et de 13h à 16h;Fermé pendant les vacances scolaires;20 bis rue Jean Jaurès;59610;Fourmies;20 Rue Jean Jaurès; 59610 Fourmies; France; 4.048813099999961;50.0154588;CC du Sud Avesnois;200043404;59249;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Fresnes sur Escaut;permanence;3;Mardi;de 8h30 à 12h00;Fermé pendant les vacances scolaires;rue Paul Vaillant Couturier;59970;Fresnes-sur-Escaut;Place Vaillant-Couturier;59970 Fresnes-sur-Escaut; France;3.578888499999948;50.4329786;CA Valenciennes Métropole;245901160;59253;59;NORD;NORD-PAS-DE-CALAIS;
Maison des associations - Grand Fort Philippe;permanence;3;Mardi;de 9h00 à 11h30;Fermé pendant les vacances scolaires;rue de Verdun;59153;Grand-Fort-Philippe;Rue de Verdun; 59153 Grand-Fort-Philippe; France; 2.1067445999999563;51.00107819999999;CU de Dunkerque;245900428;59272;59;NORD;NORD-PAS-DE-CALAIS;
Atrium - Grande Synthe;permanence;3;Jeudi;de 9h00 à 11h00;Fermé pendant les vacances scolaires;place du Marché;59760;Grande-Synthe;Place du Marché; 59760 Grande-Synthe; France; 2.3102116000000024;51.0196728;CU de Dunkerque;245900428;59271;59;NORD;NORD-PAS-DE-CALAIS;
Maison de Quartier du Courghain - Grande Synthe;permanence;3;Mardi;de 14h00 à 16h00;Fermé pendant les vacances scolaires;3 place du Courghain;59760;Grande-Synthe;3 Place du Courghain; 59760 Grande-Synthe; France; 2.294749300000035;51.0063623;CU de Dunkerque;245900428;59271;59;NORD;NORD-PAS-DE-CALAIS;
Gravelines - rue Aupick;permanence;3;Vendredi;de 14h00 à 16h00;Fermé pendant les vacances scolaires;28 bis rue Aupick;59820;Gravelines;28 Rue Aupick; 59820 Gravelines; France; 2.1279210999999805;50.9869201;CU de Dunkerque;245900428;59273;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Halluin;permanence;3;Lundi-Vendredi;Lundi de 14h00 à 17h00 - Vendredi de 8h30 à 11h30;Fermé pendant les vacances scolaires;40 rue Marthe Nollet;59250;Halluin;40 Rue Marthe Nollet; 59250 Halluin; France; 3.12139609999997;50.7819762;Métropole Européenne de Lille;245900410;59279;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Hasnon;permanence;3;Mercredi;de 16h00 à 17h00;Fermé pendant les vacances scolaires;rue du Pont;59178;Hasnon;Rue du Pont; 59178 Hasnon; France; 3.3871430000000373;50.4254669;CA de la Porte du Hainaut;200042190;59284;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Haulchin;permanence;3;Jeudi;de 15h00 à 17h00;Fermé pendant les vacances scolaires;4 place de la Mairie;59121;Haulchin;4 Place de la Mairie; 59121 Haulchin; France; 3.434093399999938;50.3182649;CA de la Porte du Hainaut;200042190;59288;59;NORD;NORD-PAS-DE-CALAIS;
Espace Chauwel - Hautmont;permanence;3;Mardi;de 9h00 à 12h00;Fermé pendant les vacances scolaires;117 rue de Louvroil;59330;Hautmont;117 Rue de Louvroil; 59330 Hautmont; France; 3.9288546000000224;50.2544039;CA Maubeuge Val de Sambre;200043396;59291;59;NORD;NORD-PAS-DE-CALAIS;
Salle Droulez - Haveluy;permanence;3;Jeudi;de 14h00 à 15h30;Fermé pendant les vacances scolaires;Place Auguste Lainelle;59255;Haveluy;Place Auguste Lainelle; 59255 Haveluy; France; 3.403093099999978;50.35493340000001;CA de la Porte du Hainaut;200042190;59292;59;NORD;NORD-PAS-DE-CALAIS;
Antenne d'Hazebrouck;Antenne;2;Lundi-Vendredi;de 9h à 12h et de 13h30 à 16h;Fermé pendant les vacances scolaires;48 rue du Dépôt;59190;Hazebrouck;48 Rue du Dépot; 59190 Hazebrouck; France; 2.540541699999949;50.7220175;CC de Flandre Intérieure;200040947;59295;59;NORD;NORD-PAS-DE-CALAIS;
Centre Social 3 Villes - Hem;permanence;3;Mercredi;de 14h00 à 17h00;Fermé pendant les vacances scolaires;93 rue du Docteur Schweitzer;59510;Hem;93 Rue du Dr Schweitzer; 59510 Hem; France; 3.201167499999997;50.6688917;Métropole Européenne de Lille;245900410;59299;59;NORD;NORD-PAS-DE-CALAIS;
Point relais services - Hondschoote;permanence;3;Lundi-Mardi-Mercredi-Jeudi-Vendredi;de 8h45 à 12h30 et de 13h30 à 17h30;;1 rue de Cassel;59122;Hondschoote;1 Rue de Cassel; 59122 Hondschoote; France; 2.579866700000025;50.978553;CC des Hauts de Flandre;200040954;59309;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Hélesmes;permanence;3;Jeudi;de 13h30 à 14h30;Fermé pendant les vacances scolaires;4 rue Roger Salengro;59171;Hélesmes;4 Rue Roger Salengro; 59171 Hélesmes; France; 3.3567898000000014;50.36739619999999;CA de la Porte du Hainaut;200042190;59297;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Jeumont;permanence;3;Lundi;de 9h à 12h;Fermé pendant les vacances scolaires;98 rue Hector Despret;59460;Jeumont;98 Rue Hector Despret; 59460 Jeumont; France; 4.100712899999962;50.29643739999999;CA Maubeuge Val de Sambre;200043396;59324;59;NORD;NORD-PAS-DE-CALAIS;
CPAM - La Bassée;permanence;3;Vendredi;de 9h00 à 12h00 et de 13h00 à 16h00;Fermé pendant les vacances scolaires;Place du Général de Gaulle;59480;La Bassée;Place du Général de Gaulle; 59480 La Bassée; France; 2.8043182000000115;50.531874;Métropole Européenne de Lille;245900410;59051;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - La Madeleine;permanence;3;Jeudi;de 9h00 à 11h00;Fermé pendant les vacances scolaires;1 rue Gantois;59110;La Madeleine;1 Rue des Gantois;59110 La Madeleine; France;3.06962180000005;50.6531726;Métropole Européenne de Lille;245900410;59368;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Lallaing;permanence;3;Mercredi;de 13h30 à 15h00;Fermé pendant les vacances scolaires;44 rue Faidherbe;59167;Lallaing;44 Rue Faidherbe; 59167 Lallaing; France; 3.1688062000000627;50.3914366;CA du Douaisis [c.A.D.];200044618;59327;59;NORD;NORD-PAS-DE-CALAIS;
